ementa;assunto_agrupado
prestação de contas ausência de registro patrimonial inventário e tombamento de bens irregularidade caracteriza afronta ao dispositivo legal do art 94 lei n 4 320 64 a inexistência dos registros analíticos de todos os bens de caráter permanente com indicação dos elementos necessários para a perfeita caracterização de cada um deles e dos agentes responsáveis pela sua guarda e administração;OUTROS
representação pedido de bloqueio de contas prestação de contas em atraso adiplencia procedencia 1 a cf 88 art 70 único estabelece que prestará contas qualquer pessoa física ou jurídica pública ou privada que utilize arrecade guarde gerencie ou administre dinheiros bens e valores públicos ou pelos quais a união responda ou que em nome desta assuma obrigações de natureza pecuniária redação dada pela emenda constitucional n 19 de 1998 2 o art 93 do decreto 200 67 também estabelece que quem quer que utilize dinheiros públicos terá de justificar seu bom e regular emprego na conformidade das leis regulamentos e normas emanadas das autoridades administrativas competentes 3 art 11 da lei n 8 429 92 constitui ato de improbidade administrativa que atenta contra os princípios da administração pública qualquer ação ou omissão que viole os deveres de honestidade imparcialidade legalidade e lealdade s instituições e notadamente : vi deixar de prestar contas quando esteja obrigado a fazê lo 4 art 87 da lei orgânica do tce pi n 5 888 09 o relator ou o plenário em caso de urgência de fundado receio de grave lesão ao erário ou a direito alheio ou de risco de ineficácia da decisão de mérito poderá de ofício ou mediante provocação adotar medida cautelar com ou sem a prévia oitiva da parte determinando entre outras providências a suspensão do ato ou do procedimento impugnado até que o tribunal decida sobre o mérito da questão suscitada;OUTROS
análise de prestação de contas irregularidades imputados ao secretário de saúde 1 a elaboração de orçamentos subestimados contraria a lrf e o princípio da exatidão 2 quanto falha atinente ao acréscimo significativo de restos a pagar esclarece se que o fato gera reflexos imediatos sobre a programação financeira do ente com impactos potenciais negativos sobre o planejamento e a execução das políticas públicas além de reduzir na prática a eficácia da lei orçamentária anual aprovada pelo legislativo;OUTROS
contas do fundeb restos a pagar sem disponibilidade financeira gastos com os profissionais do magistério inferior ao limite legal despesas sem os respectivos processos licitatórios divergências nos valores informados no sistema sagres contábil e o constatado na analise tecnica no que tange s divergências apuradas nos valores informados no sistema sagres contábil e análise técnica da dfam restou violado o disposto no art 5 da resolução tce n 39 2015 o qual determina que os dados eletrônicos sejam apresentados em conformidade com as informações dos documentos físicos que integram a prestação de contas demonstra se grave a falha atinente ao gasto com profissionais do magistério fundeb inferior ao limite legal descumprindo o art 60 5 do adct e o art 22 da lei federal n 11 494 07;OUTROS
irregularidade na utilização de recursos do fundeb pagamento de despesas de exercício anterior procedência 1 quando cabalmente comprovado que o ente federado se beneficiou da aplicação irregular dos recursos federais transferidos o tribunal ao proferir o julgamento de mérito deve condená lo ao pagamento do débito apurado nos termos do art 3 da decisão normativa tcu 57 2004 2 se ficar comprovado que o ente federado se beneficiou da aplicação irregular dos recursos e não houver indício de obtenção de vantagens indevidas ou desfalque pelos agentes públicos caberá apenas ao próprio ente o dever de ressarcir o fundo sob pena de enriquecimento ilícito do município 3 a conduta dos agentes públicos responsáveis pela aplicação dos recursos em tela com desvio de objeto deve ser apenada com as multas previstas no artigo 79 incisos i e ii da lei n 5 888 09;OUTROS
empenhamento de despesa estranha ação de saúde repercussão negativa na análise da prestação de contas a despesa com ações de saúde não contempla o serviço de transporte realizado em veículos de terceiros para tanto a alocação orçamentária correta deveria ser em rubrica própria da assistência social tendo em vista que o deslocamento de pacientes em tratamento de saúde deve ser realizado por ambulâncias;OUTROS
câmara municipal agente político teto remuneratório municipal inobservância do disposto no art 37 xi cf procedimento irregular no uso de verba indenizatória 1 com o advento da emenda constitucional n 41 2003 a constituição federal passou a prever no seu art 37 xi que no âmbito municipal a remuneração e o subsídio dos ocupantes de cargos funções e empregos públicos da administração direta autárquica e fundacional não poderão exceder o subsídio mensal do prefeito neste sentido lei orgânica municipal que se afaste de tal modelo constitucional padece de vício de inconstitucionalidade 2 no que tange ao procedimento de uso de verba indenizatória o controle interno não deve se limitar análise formal da prestação de contas de cada parlamentar com a análise de notas fiscais e recibos mas também avaliar a legitimidade da despesa ou seja verificar se estas ocorreram no interesse da administração pública havendo nexo de causalidade entre a despesa indenizável e o exercício da atividade parlamentar;OUTROS
ementa educação gasto com manutençãoe desenvolvimento de ensino inferior ao limite legal repercussão negativa na análise da prestação de contas o descumprimento do limite constitucional com manutenção e desenvolvimento de ensino possui gravidade suficiente para ensejar a reprovação das contas em discussão;OUTROS
ementa câmara municipal impossibilidade da realização de operações de crédito pelas câmaras municipais 1 a lei de responsabilidade fiscal art 32 diz que as operações de créditos serão realizadas por ente da federação as câmaras municipais não são entes mas apenas parte integrante da pessoa jurídica de direito público que é o município 2 resolução n 43 2001 art 21 i e ii do senado federal ressalta que a solicitação é prerrogativa do chefe do poder executivo e ao poder legislativo cabe a autorização 3 com fundamento na lei n 4 320 64 na ausência de receitas próprias e patrimônio próprio impossibilidade de a câmara municipal realizar operações de créditos;OUTROS
pessoal controladort interno fora do quadro efetivo irregularidade 1 conforme a emenda constitucional n 38 2012 a qual acrescentou ao art 90 da constituição estadual do piauí de 1989 os parágrafos 1 e 2 e a instrução normativa tce n 05 2011 os titulares dos órgãos de controle interno serão nomeados dentre os integrantes do quaro efetivo de cada poder;OUTROS
ideb portal da transparência falhas 1 observou se que o ideb dos anos finais 8 série 9 ano observado durante os anos de 2011 a 2017 comportou se de maneira destoante do que foi projetado inclusive a partir de 2015 apresentou uma queda brusca de uma situação crítica de 4 5 piorando para 3 6 em 2017 2 o portal da transparência deve ser alimentado no tempo e na forma estabelecidos em lei bem como as informações devem ser permanentemente atualizadas em tempo real;OUTROS
representação possíveis irregularidades na aplicação dos recursos oriundos dos precatórios do fundef demonstração do cumprimento da decisão normativa n 27 desta corte de contas desbloqueio 1 considerando a inexistência de responsabilidade do atual gestor quanto utilização dos recursos do fundef pelo seu antecessor bem como a apresentação de nova proposta de plano de gastos dos recursos do fundef a fim de atender s exigências do art 70 da lei 9 393 96 ldb conclui se que o gestor atendeu s sugestões desta corte de contas demonstrando zelo na utilização do saldo remanescente dos recursos do fundef 2 nesse sentido autoriza se o desbloqueio dos recursos remanescentes recebidos pelo município oriundos dos precatórios judiciais do fundef;OUTROS
consulta câmara municipal pessoal 1 cabe lei orgânica municipal dispor sobre o ônus do pagamento de vereador licenciado em havendo omissão legal sobre o tema cabe câmara municipal o ônus pelo pagamento da remuneração do vereador licenciado que optar pelo subsídio do mandato eletivo conforme entendimento desta corte de contas resolução tce pi n 484 2005;OUTROS
contas de governo prefeitura municipal de oeiras pi exercício 2017 1 execução orçamentária verificou se que houve o equilíbrio tanto entre a previsão e a execução orçamentária bem como entre a as receitas e despesas realizadas 3 limites constitucionais cumprimento de todos os índices constitucionais e legais das despesas com pessoal saúde e educação do município no período bem como abertura de créditos adicionais suplementares e repasse da prefeitura para a câmara dentro dos limites autorizados 4 iegm apresentou em sua maioria notas bem acima da média geral dos municípios b com destaque para i amb que alcançou nota a só quanto aos itens i gov ti e i planejamento o município demonstrou que necessita de alguma melhoria tendo em vista que as notas obtidas estão na faixa de resultado baixo nível de adequação que comparativamente aos demais municípios corresponde média desses c 5 ideb superou bem a meta projetada em relação aos anos iniciais atingindo a nota 7 1 ultrapassando em 51 06 a meta esperada para o ano de 2017 demonstrando uma significativa evolução em relação ao ideb observado em 2015 também em relação aos anos finais o município atingiu a nota 5 8 ultrapassando em 23 40 a meta esperada para aquele ano indicando assim a preocupação e dedicação do gestor na melhoria da educação básica da municipalidade 6 portal da transparência dentre todos os itens analisados conforme o anexo i da instrução normativa tce n 02 2016 apenas 6 itens foram considerados insatisfatórios impropriedade que mereceu reparo imediato conforme relatado pela defesa demonstrando uma avaliação majoritariamente positiva desse importante instrumento de transparência pública e controle social;OUTROS
prestação de contas municipal contas de governo ingresso extemporâneo das peças orçamentárias ausência de publicações de decretos de abertura de créditos adicionais peças ausentes contabilização a menor da cosip as peças orçamentarias deveram ser enviadas nos prazos estabelecidos pela resolução n 039 2015 a infração foi relativizada já que os atrasos foram verificados após as rejeições das peças encaminhadas inicialmente segundo o art 4 da in tce pi n 03 2015 as das leis decretos e atos normativos em geral que devem ocorrer dentro do prazo de 10 dez dias a partir da ultimação de sua edição conterão seu texto integral e os respectivos anexos a resolução n 39 15 em seu artigo 11 é clara quando diz que o envio dessas documentações é de responsabilidade do titular do poder executivo e é também clara ao estabelecer os prazos de envio apenas sobre uma das peças listadas foi acatado os argumentos da defesa apesar de reconhecer que a eletrobrás realiza espécie de compensação entre os créditos da cosip e os valores devidos de faturas pelas prefeituras entretanto o ente não poderia se furtar de registrar contabilmente o valor total dessa receita e não só o valor líquido recebido em respeito ao princípio do orçamento bruto art 6 da lei n 4320 64;OUTROS
ementa : prestação de contas envio intempestivo da prestação de contas mensal ausência de peças da prestação de contas mensal envio extemporâneo do balanço geral falha na demonstração da dívida flutuante não houve descumprimento dos índices constitucionais matéria preponderante para análise de contas de governo descumprimento do prazo estabelecido no art 33 iv ce 89 e resolução tce pi n 09 2014 art 4 o gestor não pode registrar o saldo inicial de 2015 em valor diferente uma vez que os restos a pagar para serem cancelados demandam uma série de atos procedimentais;OUTROS
monitoramento monitoramento do plano de aplicação dos recursos oriundos do fundef 1 sobre a utilização dos recursos recebidos a título de precatórios do fundef em sessão plenária ocorrida no dia 13 de dezembro de 2018 este tribunal de contas decidiu por maioria em consonância com o parecer ministerial anteriormente proferido e com o entendimento consolidado no tribunal de contas da união manter o bloqueio dos valores recebidos pelos municípios condicionando o desbloqueio de tais verbas ao cumprimento de determinações peça n 42 do tc 023691 2017;OUTROS
inspeção prestação de contas trespasse da execução total do convênio a empresa privada 1 na prática é vedada pela legislação aplicável ao caso art 72 78 116 da lei 8 666 93 art 4 i b art 9 do decreto estadual n 12 440 2006 art 2 i da in conjunta seplan sefaz cge n 001 2009 e caracteriza burla ao princípio da licitação art 37 xxi da constituição federal de 1988 e arts 1 e 2 da lei n 8 666 93 com a consequente onerosidade desnecessária nos custos ao se inserir um intercessor para o alcance do objetivo final do convênio art 37 caput e art 70 da constituição federal de 1988;OUTROS
ementa representação secretaria de planejamento de teresina processo administrativo desapropriação de imóvel particular existência de previsão orçamentária obediência lei orçamentária anual lei de diretrizes orçamentárias e ao plano plurianual regularidade despesa pública nota de empenho prévio atendimento aos interesses públicos o processo de desapropriação de bem imóvel particular deve atender aos requisitos constantes na lei de responsabilidade fiscal em especial quanto documentação exigida pelo art 16 4 ii a fim de verificar a existência de previsão orçamentária para fins de pagamento da indenização em obediência ldo loa e ppa a despesa pública só poderá ser efetuada mediante o prévio empenho até o limite das dotações orçamentárias de cada exercício financeiro procedimento esse formalizado através da nota de empenho cujo efeito inicia se a partir de seu recebimento pelo credor o ato de gestão financeira que concretiza a primeira fase da execução orçamentária do gasto público portanto é o ato de empenho o qual assegura a reserva de numerário para o adimplemento da obrigação sem a sua realização prévia a despesa não poderá ser liquidada e paga;OUTROS
processual ausência da prestação de contas a comprovação do cumprimento do objetivo do convênio através de documentação juntada aos autos do recurso e as já contidas no processo original bem como a solicitação de auditoria pelo gestor municipal este corte contas para a comprovação do cumprimento do convenio em análise mesmo indeferida corroboram com entendimento quanto efetivo cumprimento do convênio n 119 2009 não devendo persistir a imputação de débito ao gestor;OUTROS
inconstitucionalidade da lei por violação ao art 31 1 da constituição estadual com relação aos subsídios dos vereadores a carta maior exige sua fixação em cada legislatura para a subsequente art 29 inciso vi no que concerne fixação dos subsídios dos referidos agentes políticos a constituição do estado do piauí assim estabelece verbis : art 31 os subsídios do prefeito do vice prefeito e dos secretários municipais serão fixados por lei de iniciativa da câmara municipal observado o que dispõem os arts 37 xi 39 4 150 ii 153 iii e 153 2 i da constituição federal e esta constituição 1 o período para a fixação do subsídio do prefeito do vice prefeito e do vereador se encerrará quinze dias antes das respectivas eleições municipais grifos aditados a fixação dos subsídios dos referidos agentes em data anterior realização das eleições na dicção da constituição estadual volta se exatamente a prevenir que os integrantes da legislatura em curso se sabedores da futura composição do legislativo sofram eventual influência e se guiem por critério diverso do que deveria presidir sua decisão em particular o da independência e da imparcialidade de outra parte sob certo viés constitui também garantia aos eleitos evitando que sejam submetidos a questionamentos éticos ante a perspectiva de ter que examinar a matéria e legislar em causa própria;OUTROS
contas do fundeb indicador e limite do fundeb apurado em valor negativo ausência de licitações a existência de restos a pagar inscritos no exercício sem disponibilidade financeira de recursos do fundeb e ou despesas custeadas com superávit financeiro de exercício anterior ao fundeb não informados corretamente na prestação de contas é falha grave;OUTROS
controle interno prefeitura municipal pagamentos irregulares de acrescimos moratórios com recursos públicos contratação irregular de assessoria jurídica e contábil omissão de informações na gfip acumulação irregular de cargo público jornada incompatível cumpre aplicar multa ao controlador interno em razão de falhas apontadas na prestação de contas da prefeitura municipal tendo em vista o seu dever de fiscalização dos atos;OUTROS
ementa prestação de contas fms 2 gestão ausência de licitação restos a pagar sem saldo financeiro ausência de assinatura de empenhos ausência de recolhimento de inss de prestadores de serviços atraso no recolhimento de contribuições previdenciárias 1 os procedimentos licitatórios foram encaminhados contudo apresentaram falhas de formalização que afronta dispositivos da lei n 8 666 93 e da resolução tce pi n 09 2014 as falhas que persistiram foram de natureza formal 2 a falha atinente a restos a pagar sem comprovação financeira demonstra uma deficiência no planejamento de ordem fiscal financeira entretanto a falha é amenizada por não se tratar de último ano de mandato não houve dessa forma a desobediência ao art 42 da lrf;OUTROS
ementa renúncia de receitas guerra fiscal falha sanada com o advento da lei complementar n 160 2017 1 inconsistência na previsão das renúncias de receitas e existência de déficit orçamentário 2 as isenções fiscais de icms feitas pelo estado do piauí sem a realização de convênio firmado entre todos os estados são inconstitucionais por violação ao art 150 6 c c 155 2 xii g da crfb 88 3 a ausência de referência existência de convênio firmado com o confaz para dispor sobre concessão de incentivos ao setor foi sanda com o advento da lei complementar n 160 2017;OUTROS
contas de governo prefeitura municipal de colônia do gurguéia exercício 2017 1 execução orçamentária apurou se nos autos que a lei orçamentária municipal estimou a receita e fixou a despesa em r 20 671 853 22 apresentando uma situação de equilíbrio o referido diploma legal atendeu dentre outros aos princípios da unidade e universalidade orçamentárias uma vez que consolida os orçamentos de todos os órgãos entidades e fundos que compõem a estrutura do poder público municipal verificou se no entanto que a receita total arrecadada foi de r 16 090 245 19 correspondendo a 77 84 em relação receita prevista representando um déficit de r 4 581 608 03 a despesa empenhada total atingiu o montante de r 15 104 880 96 quinze milhões cento e quatro mil oitocentos e oitenta reais e noventa e seis centavos que corresponde a 72 82 em relação fixada representando uma economia orçamentária de r 5 636 972 26 2 limites constitucionais o município cumpriu como todos os limites legais e constitucionais que estava obrigado 3 iegm ficou demostrado que na avaliação por índices temáticos o município se manteve dentro da média dos demais municípios do estado com exceção do ieduc e i saud que obteveram avaliação c e c respectivamente ficando abaixo da média verificada que foi b e c nessa abordagem verifica se a necessidade do aprimoramento da gestão na melhoria da efetividade das políticas públicas subdivididas pelas áreas temáticas avaliadas 4 ideb observou se que o município não atingiu as metas projetadas tanto para os anos iniciais 4 2 nota 4 3 meta como nos anos finais 3 5 nota 5 4 meta nos anos iniciais observou se que houve uma melhora em relação a avaliação anterior feita em 2015 em que atingiu nota 4 4 onde a meta era de 4 0 5 portal da transparência apesar de incialmente o município ter obtido uma nota baixa 2 77 na avaliação da cgu em face das inconformidades em vários itens a falha foi amenizada tendo em vista que o gestor promoveu em seguida as implementações dos itens ausentes conforme a observou a dfam;OUTROS
contas de governo prefeitura municipal de queimada nova exercício 2017 1 execução orçamentária verificou se que houve o equilíbrio tanto entre a previsão e a execução orçamentária bem como entre a as receitas e despesas realizadas 2 divergências de dados no preenchimento de informações tanto no siope como no siops que resultaram em diferentes índices da aplicação de recursos em educação e saúde demonstrou que a gestão não vem obedecendo o disposto no art 5 da resolução tce pi n 27 2016 3 limites constitucionais município não cumpriu com o mínimo de gastos com manutenção e desenvolvimento do ensino exigido pelo art 212 da cf trata se portanto de falha de natureza grave que de acordo com a súmula n 07 do tribunal de contas do estado do piauí tem o condão por si só de reprovação das contas de governo 4 iegm ficou demostrado que na avaliação por índices temáticos o município se manteve dentro da média dos demais municípios do estado com exceção do i educ que obteve avaliação c ficando abaixo da média verificada que foi c nessa abordagem verifica se a necessidade do aprimoramento da gestão na melhoria da efetividade das políticas públicas subdivididas pelas áreas temáticas avaliadas 5 ideb ficou demostrado que na avaliação por índices temáticos o município se manteve dentro da média dos demais municípios do estado com exceção do i educ que obteve avaliação c ficando abaixo da média verificada que foi c nessa abordagem verifica se a necessidade do aprimoramento da gestão na melhoria da efetividade das políticas públicas subdivididas pelas áreas temáticas avaliadas 6 portal da transparência apesar de incialmente o município ter obtido uma nota baixa 2 77 na avaliação da cgu em face das inconformidades em vários itens a falha foi amenizada tendo em vista que o gestor promoveu em seguida as implementações dos itens ausentes conforme a observou a dfam;OUTROS
denúncia transparência restrição ao princípio da publicidade procedência parcial 2 a divulgação das informações integrantes do cadastro nos sistemas do tce pi tais como licitações contratos e obras web é instrumento de transparência e de cidadania não constituindo publicidade para efeito da legislação de licitações e contratos tampouco substitui a divulgação das informações da lei de acesso informação;OUTROS
contratação de empresa cujos sócios possuem laços de parentesco com o prefeito municipal não comprovação mau funcionamento do portal da transparência municipal e suposto impedimento de acesso aos dados nele contidos não comprovação necessária atualização dos dados 1 não foi comprovado laço de parentesco impeditivo dos sócios da empresa contratada com a administração municipal 2 observou se ainda a possibilidade de acesso ao portal da transparência do município bem como a disponibilização de informações acerca de relatórios diárias organograma e extratos no entanto faz se necessário a manutenção e a atualização do mesmo visto que alguns arquivos disponíveis para consulta não estão acessíveis;OUTROS
gestor municipal denúncia possiveis irregularidades no pagamento de diárias não disponibilização no portal da transparência dos valores pagos 1 o pagamento de diárias mensais em quantidade superior definida em lei municipal e em percentual representativo em relação ao subsídio mensal dos agentes políticos constitui desrespeito determinação legal 2 a ausência de divulgação no portal da transparência de informações completas relativas concessão de diárias afronta o art 48 parágrafo único inciso ii da lei de responsabilidade fiscal bem como a lei nacional de acesso informação lei n 12 527 2011 que regulamenta o direito de acesso s informações públicas garantia prevista no inciso xxxiii do art 5 da cfrb;DESPESA
prestação de contas ausência e ou irregularidades dos processos licitatórios algumas irregularidades formais nos procedimentos licitatórios despesas inadimplência débitos com a eletrobrás pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias patronal inconsistência no valor do percentual recolhido das obrigações patronais pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias dos funcionários municipais 1 atraso no pagamento das faturas de energia elétrica caracteriza despesa antieconômica aos cofres públicos observou que cabe ao gestor efetuar os pagamentos das faturas de energia elétrica de forma tempestiva a fim de evitar a oneração irregular do erário em cumprimento aos princípios constitucionais da eficiência e da economicidade art 22 da lei n 8 212 91 dispõe que o percentual da contribuição patronal deve ser de no mínimo 20 e no caso em tela se observa que houve um subprovisionamento dos encargos previdenciários abaixo do percentual legal podendo com isso acarretar prejuízo aos servidores e gerar dívida previdenciária para o município;DESPESA
despesa ilegal despesas no valor referente hospedagem e locação de imóveis valor empenhado a maior posteriomente a diferença anulada licitação ausência de publicação procedimento de dispensa de licitação para aluguel locação e hospedagem de imóvel no município de teresina 1 despesas no valor referente hospedagem e locação de imóveis sendo empenhado o total de r 19 722 00 dezenove mil e setecentos e vinte e dois reais pagos o montante de r 15 562 00 quinze mil seiscentos e dois reais e anulado a quantia de r 4 160 00 quatro mil cento e sessenta reais 2 não foi demonstrada a realização de procedimento administrativo adequado realização da despesa com locação hospedagem de imóvel pensão desse modo não havendo amparo legal para a referida contratação;DESPESA
prestação de contas prefeitura municipal de são gonçalo do piauí exercício 2016 contas de gestão ausência de licitações fragmentação de despesas inadimplência com a eletrobrás e agespisa atraso no cadastro e finalização de licitações no sistema licitações web ausência de finalização de licitações no sistema licitações web acumulação ilegal de cargos ausência de detalhamento de despesas realizadas 1 foram encaminhados os procedimentos licitatórios solicitados em sede de defesa dos quais se verificou a existência de falhas formais de não atendimento s exigências da lei 8 666 93 2 dos débitos com a eletrobrás e agespisa restou a falta de comprovação de uma posterior quitação ou negociação dos respectivos débitos 3 a resolução tce pi n 39 15 determina prazos para cadastramento e finalizações de licitações no sistema licitações web 4 o art 37 xvi dispõe sobre as exceções para a acumulação remunerada de cargos públicos no caso a ocorrência é agravada diante da ausência de justificativas pelo gestor 5 conforme art 61 da lei 4 320 64 a nota de empenho deverá conter dentre outras exigências a especificação no caso as despesas apontadas não apresentaram a devida descrição do objeto que estaria sendo pago;DESPESA
pedido de reexame inspeção dever de promover a substituição das contratações precárias e diretas de pessoal por mão de obra regularmente contratada através de concurso público descumprimento do limite de gastos com pessoal não empecilho razoabilidade da multa aplicada redução provimento parcial o descumprimento do limite de gastos com pessoal não pode ser apontado como justificativa para a manutenção de irregularidades na contratação de pessoal devendo o gestor adotar as medidas já previstas no art 169 3 da constituição federal a fim de atender demanda na prestação de serviços públicos essenciais sem comprometer o equilíbrio financeiro do munícipio além disso cabe ao gestor determinar ao órgão de controle interno a adoção de medidas para identificar irregularidades em folha de pagamento reduzindo por consequência as despesas com pessoal do executivo municipal;DESPESA
prestação de contas de gestão fms despesa pagamento irregular de acréscimos moratórios 4 o pagamento de encargos moratórios são despesas estranhas finalidade do ente estatal configurando se como afronta ao princípio da eficiência nos termos do art 37 caput da cf 88;DESPESA
ementa : contas do fmas ausência de assinatura do ordenador de despesa em notas de empenho art 58 da lei n 4 320 64 1 a ausência de assinatura do ordenador de despesa em notas de empenho demonstra inobservância do art 58 lei n 4 320 64;DESPESA
chefe do executivo débito junto eletrobras e agespisa índicios de irregularidades nas contribuições previdenciárias irregularidades em licitação para execucação de obras em estradas vicinais 1 o pagamento de juros e multas representa desobediência ao princípio da eficiência previsto no artigo 37 caput da cf 88 bem como o princípio da economicidade estabelecido no artigo 70 da cf 88 2 a constatação de indícios de irregularidades nas contribuições previdenciárias torna necessária a demonstração de regularidade da compensação pelo gestor ou o obriga a sanear os desvios detectados de modo a evitar futuros prejuízos aos cofres públicos;DESPESA
ementa : contas do fmas ausência de assinatura do ordenador de despesa em notas de empenho art 58 da lei n 4 320 64 1 a ausência de assinatura do ordenador de despesa em notas de empenho demonstra inobservância do art 58 lei n 4 320 64;DESPESA
prefeitura municipal representação alteração de estrutura de carreira sem prévia dotação orçamentária e sem autorização na ldo geração de despesa sem estimativa do impacto orçamentário e sem declaração do ordenador de despesa sustação da despesa 1 legislação aprovada sem a devida adequação orçamentária e financeira e em inobservância ao que determina a legislação vigente são inexequíveis porquanto embora se trate de normas que após a sua promulgação entram no plano da existência e no plano da validade não entram ainda no plano da eficácia justamente por não atenderem ao disposto no art 167 da cf 88 art 113 do adct arts 15 16 e 17 da lrf e na respectiva ldo 2 a ausência de dotação orçamentária prévia em legislação específica não autoriza a declaração de inconstitucionalidade da lei impedindo tão somente a sua aplicação naquele exercício financeiro 3 o tribunal de contas possui competência para sustar a despesa pública ilegítima em razão de sua prerrogativa constitucional no intuito de viabilizar sua função fiscalizatória;DESPESA
prestação de contas da câmara municipal de santa cruz dos milagres exercício 2014 ingresso extemporâneo e peças ausentes da prestação de contas mensal variação do subisídio dos vereadores acima do índice inflacionário regularidade com ressalvas 1 a irregularidade referente ao atraso no envio das prestações de contas bem como a ausência de peças foi amenizada pelo fato do contador contratado estar acometido por enfermidade conforme apresentação de declaração e documentos comprobatórios nos autos que o impediu de realizar os devidos serviços em tempo hábil 2 em relação variação dos subsídios dos vereadores em que pese a apresentação de norma inadequada para respaldar o fato observa se que trata de valor de subsídio pagos no exercício 2014 não tendo ainda este tribunal até então firmado posição através de consulta importante ressaltar que a variação ainda ficou abaixo do valor que teria sido aprovado para a legislatura;DESPESA
prestação de contas ingresso variação nos subsídio dos vereadores sem amparo legal 1 fixação indevida do valor dos subsídios dos vereadores sem estimativa de impacto orçamentário e financeiro;DESPESA
omissão no cumprimento de obrigações causadoras de perda patrimonial art 10 caput da lei n 8 429 92 1 embora tenha quitado a dívida noticiada na representação o município já acumula nova dívida nesse sentido procede a representação quanto existência de dívida embora em valor diverso do que o reclamado;DESPESA
despesa pagamento de multas e juros pelo atraso no pagamento de obrigações sociais irregularidade 1 o pagamento de multas e juros pelo atraso no pagamento de obrigações sociais configura irregularidade podendo repercutir negativamente no julgamento das contas de uma unidade gestora;DESPESA
prestação de contas ausência e ou irregularidades dos processos licitatórios algumas irregularidades formais nos procedimentos licitatórios despesas inadimplência débitos com a eletrobrás pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias patronal inconsistência no valor do percentual recolhido das obrigações patronais pagamento de encargos legais decorrente de juros e multas sobre o recolhimento de contribuições previdenciárias dos funcionários municipais 1 atraso no pagamento das faturas de energia elétrica caracteriza despesa antieconômica aos cofres públicos observou que cabe ao gestor efetuar os pagamentos das faturas de energia elétrica de forma tempestiva a fim de evitar a oneração irregular do erário em cumprimento aos princípios constitucionais da eficiência e da economicidade art 22 da lei n 8 212 91 dispõe que o percentual da contribuição patronal deve ser de no mínimo 20 e no caso em tela se observa que houve um subprovisionamento dos encargos previdenciários abaixo do percentual legal podendo com isso acarretar prejuízo aos servidores e gerar dívida previdenciária para o município;DESPESA
planejamento ausência de publicação de decretos referentes a abertura de créditos adicionais inscrição de restos a pagar sem comprovação de saldo financeiro educação gasto com manutenção e desenvolvimento de ensino inferior ao limite legal repercussão negativa na análise da prestação de contas reprovação 1 os créditos adicionais suplementares são autorizados por lei e abertos por decreto do poder executivo e a sua publicação é condição de eficácia do decreto para que o ato normativo produza normalmente seus efeitos o art 4 da in tce pi n 03 2015 dispõe que as publicações dos decretos devem ocorrer dentro do prazo de dez dias a partir de sua edição com texto integral e anexos 2 é vedado ao titular de poder ou órgão nos últimos dois quadrimestres do seu mandato contrair obrigação de despesa que não possa ser cumprida integralmente dentro dele ou que tenha parcelas a serem pagas no exercício seguinte sem que haja suficiente disponibilidade de caixa para este efeito art 42 da lei de responsabilidade fiscal lei n 101 2000 3 o descumprimento do limite constitucional com manutenção e desenvolvimento de ensino possui gravidade suficiente para ensejar a reprovação das contas;DESPESA
denúncia pessoal adiantamento de subsídios pagamentos irregulares de diárias procedência 1 o regime de adiantamentos é aplicável aos casos de despesas expressamente definidas em lei que não possam subordinar se ao processo ordinário ou comum possuindo pois o caráter excepcional tendo como finalidade flexibilizar determinadas despesas que não podem pela sua própria natureza aguardar o processamento normal da despesa 2 cada diária deve ter um processo de despesa com a apresentação de informações que justifiquem o gasto que será realizado como por exemplo destino motivo do deslocamento período de permanência e número de diárias;DESPESA
prestação de contas instituto de previdência pagamentos de multas e juros repercussão negativa 1 o pagamento extemporâneo de despesas pelos órgãos ou entidades públicas ocasionando o recolhimento de multas e juros de mora implica em gestão ruinosa de recursos públicos onerando irregularmente o erário com a criação de encargos adicionais que não se coadunam com o caráter público da despesa ou com os gastos próprios da administração pública ferindo o art 4 da lei federal n 4 320 de 17 de março de 1964;DESPESA
prestação de contas contas de governo descumprimento de índices constitucionais falha grave 1 as falhas constatadas no relatório de fiscalização são de natureza grave e têm o condão de ensejar a reprovação das contas apreciadas em especial o descumprimento do limite mínimo com despesas de manutenção e desenvolvimento do ensino;DESPESA
